,att_all_ave,att_AD_ave,att_SCZ_ave,att_dat_ave
Oligo:ETV6 -> ADAM28,0.00036194225549200415,0.361978021474481,0.1918724840698647,2.188698348343382e-05
Micro:NFATC2 -> SP100,0.5785795337564186,0.7758127756489706,0.6090234632008352,0.4923185920583423
Oligo:FLI1 -> AKAP13,0.005229073621486575,0.005067379434189603,0.006153335576658383,0.009906556268368097
Oligo:RUNX1 -> LCP2,0.625418653061729,0.6709352583231056,0.4931812106034078,0.6935525288780747
Micro:IRF8 -> IL18,0.5282567055461664,0.11896691664903264,0.09190448152602021,0.8303063735478134
Micro:IRF8 -> PLA2G4A,0.08840755101885835,0.019439968546854876,0.016413530180416074,0.3476531607244946
Micro:IRF8 -> CYTH4,0.8296010891209289,0.36593783088163134,0.32415815817856664,0.623147989587832
OPC:ZEB1 -> POU6F2,0.00997551731117426,0.009866818429827269,0.004511964973601673,0.040202271287738754
Oligo:FLI1 -> KCTD12,0.46549753747916855,0.6092387174461753,0.3927296644443522,0.4776121843838613
OPC:ZEB1 -> VCAN,0.000572744390449403,0.0059277898452757055,0.001706680372900737,0.00029750914639640195
Oligo:RUNX1 -> PLA2G4A,0.40341437486498855,0.13278873714205192,0.20454756767750382,0.8096261242600253
Oligo:FLI1 -> LHFPL2,0.02585159219789121,0.07098343652889505,0.05740586672049424,0.01462957817499352
Oligo:IKZF1 -> SLC4A7,0.06220961076974973,0.28433237094603914,0.0377967451229472,0.051695580427472444
Micro:NFATC2 -> P2RY12,0.41099834977185734,0.7153620406621696,0.446801599511951,0.23802668403765817
Oligo:FLI1 -> TLR1,0.12963021493964996,0.06415543326972953,0.0861717909267534,0.23735910902267765
Oligo:FLI1 -> SP110,0.1813821369234129,0.1218167824262298,0.06483499103644252,0.3752652831329578
Oligo:FLI1 -> IFNGR1,0.387834105375382,0.5766658995000542,0.22253683037518807,0.4531603020741861
Micro:NFATC2 -> ARHGAP25,0.899944358066123,0.6297402766542457,0.03042154367888995,0.5284425077519307
Oligo:IKZF1 -> SLC11A1,0.12410898182625082,0.050062342882353845,0.07792321605240032,0.27286329265451825
Micro:NFATC2 -> FLI1,0.010523697698544634,0.9120262508067136,0.009890737730929649,0.013148207342845098
Oligo:FLI1 -> ALPK1,0.023591623119333906,0.03209772362695152,0.01280138669634133,0.04674067079563854
Micro:IRF8 -> GPR34,0.21892426835705053,0.232214283357691,0.1996203633523333,0.2569789581845263
Oligo:RUNX1 -> ADCY7,0.024208006970043355,0.021248793700919054,0.015064853058021641,0.048687802049411706
Micro:IRF8 -> FAM149A,0.7988033296158208,0.7094456649100916,0.6709891549342976,0.5105023988142332
Oligo:FLI1 -> FGD2,0.35712886971493196,0.6497305960644679,0.2860357351133555,0.3127487591488107
IN_SST:MAFB -> GRIN3A,0.36442971636206123,0.24661873690042438,0.18589584723662164,0.7254582184788284
EN_L2_3_IT:SRRM3 -> TENM2,0.8909974965548755,0.4250555081318306,0.6100771871778714,0.5510911838072364
Immune:RUNX3 -> TC2N,0.10378429836404966,0.16386798287707574,0.1352127795755059,0.14994190842836722
Micro:IRF8 -> SYK,0.49426385078251456,0.15578597255887683,0.2122133233500948,0.9749288218540548
Oligo:ETV6 -> SCIN,0.038248873117707055,0.5884940701468908,0.36331851961136263,0.001805402797762434
Astro:TCF7L2 -> GLI3,0.0008920482230757511,0.027694006973004535,0.012570967276374264,3.132187439807788e-05
Micro:IRF8 -> ALOX5,0.4891501695158015,0.7751348750461206,0.8011779240049285,0.16393669386505003
Micro:IRF8 -> RASGEF1C,0.03052528858394593,0.21677009973228203,0.46522297028897275,0.006159412986775617
Endo:GATA2 -> TGM2,0.8568189544085247,0.8247053162829431,0.40151215806250384,0.81619474844112
Oligo:IKZF1 -> CYFIP1,0.014355026849009613,0.18155048833899545,0.060309276546347636,0.005383163066759046
Oligo:ETV6 -> ENTPD1,0.5847014198507337,0.9243139456884315,0.6430917985030027,0.25624496298900024
Oligo:FLI1 -> ALOX5,0.34519022651391873,0.25008925194086606,0.18288340672291664,0.5814078504637372
Oligo:TCF12 -> BCAS1,0.14872669077047418,0.9751258201855421,0.17761956189626982,0.08505448660991796
Oligo:TCF12 -> VRK2,0.7754417374383477,0.18269367906346892,0.9223028102373908,0.25183621075458335
Micro:IRF8 -> TFEC,0.3030353773509548,0.6772720624235348,0.47735847421049893,0.1465469333101725
Oligo:IKZF1 -> SKAP2,0.16085339594506176,0.9701275533806104,0.4562657755306547,0.025423636923295856
Oligo:ETV6 -> SRGAP2B,0.13565252837058622,0.47092710222503986,0.6507492015070027,0.013306251260950069
Micro:TAL1 -> NCKAP1L,0.6561185247137735,0.5032098347532558,0.5908163998124686,0.8701639536032325
Micro:NFATC2 -> PALD1,0.14298764905895847,0.806188904975838,0.7463488381370786,0.03557497059220727
Micro:IRF8 -> TMEM156,0.1252547617933099,0.5568936361713933,0.5016941567529394,0.07337284760365825
Micro:IRF8 -> CSF1R,0.5224631542512441,0.08803004664707191,0.8429837312091524,0.7037958515450624
Micro:IRF8 -> NCKAP1L,0.8239814279996247,0.48634792136098903,0.32939035587074517,0.9043131403993754
Micro:REL -> TNFRSF1B,0.0388533124337298,0.3502061933511669,0.26171916459959366,0.022374532706831967
Endo:GATA2 -> CLDN5,0.9705962182306864,0.7513526021367782,0.7161031402626045,0.7310883772408824
Astro:TCF7L2 -> CSGALNACT1,3.054928342298392e-06,0.0027622303259301935,0.0009365333997681491,1.624865460797345e-08
PC:TBX2 -> NOTCH3,0.9969974934723405,0.40351075837051553,0.5413234764298963,0.8501903436296465
Oligo:RUNX1 -> C1QB,0.006871321041687474,0.010531340303742292,0.013544204756435328,0.007891764008225846
Micro:IRF8 -> ITGAM,0.6699708427924437,0.8737707551687983,0.8112494142222424,0.31674117529824325
Oligo:IKZF1 -> DOCK11,0.005813860388560923,0.1571313620722736,0.03090457328481136,0.0005438058334726417
Oligo:FLI1 -> CSF1R,0.30028030760254526,0.17141544859274277,0.12600743976100082,0.5651451328819189
Oligo:ETV6 -> HCK,0.023679180444939413,0.619984268943234,0.5227633733486545,0.002268056032491996
Micro:TAL1 -> SP100,0.06814498554182165,0.13758654917567825,0.3779773453553603,0.09470360154191353
Oligo:RUNX1 -> MAML3,0.11665245418206059,0.332409401802355,0.0716533707076309,0.11386505996861475
Micro:IRF8 -> OLR1,0.9132287075802064,0.6232830301450882,0.6745174729868235,0.8667800082571611
Immune:RUNX3 -> ITGA4,0.06857944556697175,0.05571053129837442,0.027995564314736855,0.31254848696755005
Oligo:ETV6 -> TBXAS1,0.02201443967725214,0.7254156787802906,0.8848072027583896,0.0012693374272541166
