edges,logFC,p_values,neg_log10_p
IN_LAMP5_LHX6 --> EN_L3_5_IT_1,0.44731107904231937,0.13883794626699966,0.8574918191687769
IN_LAMP5_LHX6 --> EN_L3_5_IT_2,0.7996244089048768,0.006469766515202879,2.1891113921270784
IN_LAMP5_LHX6 --> EN_L3_5_IT_3,0.27397703476077084,0.42255134235062153,0.37412051430041804
IN_LAMP5_LHX6 --> EN_L5_6_NP,0.9637031870628349,0.016151334760983783,1.7917915813590923
IN_LAMP5_LHX6 --> EN_L6B,-0.4526781762125343,0.6523087917195562,0.18554676808251147
IN_LAMP5_LHX6 --> EN_L6_CT,0.32397382563872706,0.49631228825472673,0.3042449719210461
IN_LAMP5_LHX6 --> EN_L6_IT_1,-0.19595134196016162,0.6889284851478876,0.16182585808891853
IN_LAMP5_LHX6 --> EN_L6_IT_2,0.48196056139842747,0.330158588114012,0.4812774013380694
IN_LAMP5_LHX6 --> IN_ADARB2,0.13252687859393644,0.6321537626273914,0.1991772727642953
IN_LAMP5_LHX6 --> IN_LAMP5_LHX6,0.3593514223914973,0.004929292312070696,2.3072154269750986
IN_LAMP5_LHX6 --> IN_LAMP5_RELN,0.06368153813273675,0.8837282252991001,0.0536812739010682
IN_LAMP5_LHX6 --> IN_PVALB,0.5303744160823083,0.06406182989360337,1.1934006600939262
IN_LAMP5_LHX6 --> IN_PVALB_CHC,0.2906904921551871,0.4493612856300996,0.3474043466064128
IN_LAMP5_LHX6 --> IN_SST,-0.06371832578229161,0.8308245402933473,0.08049068407171997
IN_LAMP5_LHX6 --> IN_VIP,0.576967339437678,0.007571607101244826,2.120811930126681
IN_LAMP5_LHX6 --> OPC,0.6656514048151798,0.06398291710872173,1.1939359634494637
IN_LAMP5_LHX6 --> Oligo,-0.0798623532162792,0.9157701518737553,0.038213515741465684
IN_LAMP5_RELN --> Astro,0.4898107081003046,0.034532679198250746,1.4617697258533275
IN_LAMP5_RELN --> EN_L2_3_IT,0.7685783559365783,0.00013969743390060445,3.8548115713592828
IN_LAMP5_RELN --> EN_L3_5_IT_1,0.8443734008123635,0.00019373124167757898,3.7128003380103474
IN_LAMP5_RELN --> EN_L3_5_IT_2,1.037291556345784,9.328189411201748e-06,5.030202644038259
IN_LAMP5_RELN --> EN_L3_5_IT_3,0.950534895310479,3.2558561251483605e-05,4.487334794641161
IN_LAMP5_RELN --> EN_L5_6_NP,0.5760552845492962,0.03284330011552679,1.483553211176379
IN_LAMP5_RELN --> EN_L6B,0.7036395107883574,0.020472247087762088,1.688834485414929
IN_LAMP5_RELN --> EN_L6_CT,0.6922568657565477,0.008951582608458181,2.048100176152345
IN_LAMP5_RELN --> EN_L6_IT_1,0.6983787821724867,0.007218554207947764,2.141549777830158
IN_LAMP5_RELN --> EN_L6_IT_2,0.6575766593493588,0.07757383965976009,1.1102847118202668
IN_LAMP5_RELN --> IN_ADARB2,0.14956940278131445,0.5715350919430372,0.242957099005638
IN_LAMP5_RELN --> IN_LAMP5_LHX6,0.6938650625080109,0.0037404880369181176,2.427071729908399
IN_LAMP5_RELN --> IN_LAMP5_RELN,0.3153028720992304,0.0068574057816851225,2.163840150734056
IN_LAMP5_RELN --> IN_PVALB,-0.07079252146586312,0.8264743734691009,0.08277060807378463
IN_LAMP5_RELN --> IN_PVALB_CHC,-0.11605802811201868,0.8163672184433634,0.08811444287683297
IN_LAMP5_RELN --> IN_SST,0.10101620992594781,0.7455276890617304,0.12753622211922752
IN_LAMP5_RELN --> IN_VIP,0.46834754989517663,0.014353899864511894,1.8430300878126076
IN_LAMP5_RELN --> OPC,0.5132826069864718,0.04141369854234105,1.3828559821321904
IN_LAMP5_RELN --> Oligo,-0.8475385850238514,0.34758872892927783,0.4589343146260814
IN_PVALB --> Astro,0.1310355399749238,0.7664054350456381,0.11554142407309245
IN_PVALB --> EN_L2_3_IT,0.6374589855208882,0.021216583947679106,1.6733245399493069
IN_PVALB --> EN_L3_5_IT_1,0.7315492279311021,0.0186449994036736,1.729437626192793
IN_PVALB --> EN_L3_5_IT_2,1.1586408343286358,5.7727361105562645e-05,4.238618294978192
IN_PVALB --> EN_L3_5_IT_3,0.24622299469870038,0.5736959734260503,0.2413181982698758
IN_PVALB --> EN_L5_6_NP,0.5011578579434437,0.23248196774968496,0.6336107271203254
IN_PVALB --> EN_L6B,0.7267402931129051,0.05116794291366171,1.2910020424612112
IN_PVALB --> EN_L6_CT,0.36079500590153707,0.5133012903007736,0.2896276440388639
IN_PVALB --> EN_L6_IT_1,0.22500262312858268,0.5239686469927436,0.28069469936249786
IN_PVALB --> EN_L6_IT_2,0.5906277311238705,0.12245388603238698,0.912027428133037
IN_PVALB --> IN_ADARB2,0.7535306174268993,0.05310725186807995,1.2748461713620296
IN_PVALB --> IN_LAMP5_LHX6,0.6093985562640707,0.04542905059254539,1.3426663392744578
IN_PVALB --> IN_LAMP5_RELN,0.965846626090004,0.002199487789350251,2.657678444704407
IN_PVALB --> IN_PVALB,0.33333080644320845,0.008616817597920151,2.0646531001674813
IN_PVALB --> IN_PVALB_CHC,0.7574447679037788,0.040203049296144634,1.39574100556563
IN_PVALB --> IN_SST,0.4280292452804093,0.10990059362490023,0.9589999617410024
IN_PVALB --> IN_VIP,0.7382029174138309,0.0008843895949851051,3.053356375621971
IN_PVALB --> OPC,0.42136527433507326,0.16671080885923278,0.7780362413493208
IN_PVALB --> Oligo,1.5735457722341117,0.030784459924737384,1.5116684611650386
IN_PVALB_CHC --> Astro,-0.5093921031120958,0.308128773766598,0.5112677443816216
IN_PVALB_CHC --> EN_L2_3_IT,-0.4583026680865892,0.34262901768359244,0.4651758588655527
IN_PVALB_CHC --> EN_L3_5_IT_1,-0.14700580756890608,0.7535923391941781,0.12286352510717244
IN_PVALB_CHC --> EN_L3_5_IT_2,0.1468639796022485,0.7239327117018659,0.14030179885070534
IN_PVALB_CHC --> EN_L3_5_IT_3,-0.04855601587711577,0.9077023820237482,0.042056524862613257
IN_PVALB_CHC --> EN_L5_6_NP,0.40473990456194947,0.47557910034964845,0.3227772390034243
IN_PVALB_CHC --> EN_L6B,0.3736119884290751,0.558107887819373,0.25328183949333716
IN_PVALB_CHC --> EN_L6_CT,-0.20613499962803344,0.7072675020313484,0.15041629669304532
IN_PVALB_CHC --> EN_L6_IT_1,0.20882304613162825,0.7189014209352944,0.14333065798848216
IN_PVALB_CHC --> EN_L6_IT_2,0.5426131616751464,0.28613524378741323,0.5434286460755086
IN_PVALB_CHC --> IN_ADARB2,0.22902462940153467,0.5569771809931586,0.25416259723517176
IN_PVALB_CHC --> IN_LAMP5_LHX6,-0.18666535505466866,0.6839839530171188,0.16495408716565463
IN_PVALB_CHC --> IN_LAMP5_RELN,-0.5924498395075549,0.20716808064517422,0.6836771575539005
IN_PVALB_CHC --> IN_PVALB,-0.37498766723718946,0.34605035381575266,0.46086070238291194
IN_PVALB_CHC --> IN_PVALB_CHC,0.32400134427989424,0.014184476690927443,1.848186682034843
IN_PVALB_CHC --> IN_SST,-0.13057952473502712,0.7363396132544922,0.13292183492318102
