,AD:att_all_ave,AD:att_AD_ave,AD:att_SCZ_ave,AD:att_dat_ave,Control:att_all_ave,Control:att_AD_ave,Control:att_SCZ_ave,Control:att_dat_ave
Oligo:RUNX1 -> HCK,0.0584536102255988,0.03994590530975728,0.037840388310765215,0.07801407364093638,0.06198620658133064,0.048151691264599526,0.04972912444964915,0.07503200530553693
Oligo:IKZF1 -> ARHGAP15,0.06877999163819555,0.06592567816795529,0.058139395714666496,0.07552744633508024,0.10978618001635092,0.09059908976943835,0.0912234789452403,0.12866107567536247
IN_SST:MAFB -> PRDM1,0.03629648187379417,0.03705470683547741,0.021734692997924,0.04319826383088765,0.021202608428767648,0.004007253556932521,0.00019036001641954532,0.040306410070859285
Oligo:ETV6 -> TGFBR1,0.044065475626875815,0.015593231897920475,0.018321081013716916,0.07117379479793298,0.02010046389699682,0.012699639479358534,0.014656382851932988,0.0265229166283479
Oligo:RUNX1 -> SRGAP2B,0.052987096699647754,0.03839518832058765,0.040061841239939035,0.06674567861903218,0.11322592353546797,0.10424980518692147,0.09968649809942458,0.12448369542776293
Oligo:IKZF1 -> ALPK1,0.06862993529725127,0.05617541271556879,0.052930686879567035,0.08270682079693464,0.10899835245757643,0.08732861938837279,0.08928324701494322,0.12969077171349488
Oligo:RUNX1 -> PALD1,0.03329403283374089,0.015179178632418746,0.01743148830973625,0.05028273219640431,0.019760670605518973,0.008148053988851645,0.0089595623952081,0.030967533019008123
Oligo:IKZF1 -> LAPTM5,0.046711855928012434,0.03537258520804794,0.027236653224391706,0.06211909263980507,0.08500775308411179,0.06734603607966817,0.06717906658621366,0.10275295483528268
Micro:IRF8 -> CTSC,0.061686901959089414,0.03028122869780417,0.02986522930529612,0.09330057491662867,0.08775191732070127,0.07217144212073237,0.06774408845278596,0.10554606935464335
Immune:RUNX3 -> SAMD3,0.0483448455947389,0.05514681871713204,0.04781480563804141,0.0452088790118911,0.021604782162353214,0.011972529336797363,0.005322720823346475,0.034561939244634535
Oligo:IKZF1 -> MAML3,0.06501870931470498,0.05600870809041843,0.05275089849647835,0.07565761533596158,0.05698547378687751,0.03849854991787713,0.036753693777456374,0.0763448257260883
Oligo:FLI1 -> SFMBT2,0.08092441323912382,0.06968061988832673,0.06199976115095915,0.0960086359586047,0.14524055516650447,0.13577594818512825,0.12928336892356213,0.1579514517786638
Oligo:FLI1 -> ARHGAP24,0.06320409643787867,0.05108979648965304,0.04610949648785828,0.07780854638700171,0.10064673546331508,0.0899946408558328,0.08555801267700243,0.11351714416021252
PC:TBX15 -> ADGRD1,0.015690824238507886,0.006203609795722546,0.0173797636753028,0.019589961741503115,0.009473080989194001,0.00041711218004157965,0.0004018783295146703,0.018536666723609936
Oligo:FLI1 -> PIK3AP1,0.04640529696178236,0.03194219937175094,0.0317992923595608,0.06093984805790887,0.04662888382416729,0.03723619020239112,0.03606768346875935,0.05660583081275937
Astro:TCF7L2 -> GLIS3,0.11023625391007816,0.057618774429611226,0.08307591900248712,0.15012516110410715,0.14486084064083946,0.16605680839603976,0.17748160292413637,0.11795247562159089
Astro:TCF7L1 -> ATP1A2,0.1357781451854207,0.11759245453862106,0.12402967521851249,0.15074522549227456,0.03174018216897493,0.010837255198592424,0.01687540489464256,0.049624034291332386
Oligo:IKZF1 -> FMNL3,0.07686387561441621,0.0672451521591349,0.06275140553994564,0.08872947237929216,0.08568646584452329,0.07928645036717188,0.07397403971848372,0.09474268664621874
Micro:TAL1 -> FGD2,0.02731014033312234,0.014934983687677794,0.012134225854044046,0.04108567589538377,0.03169981725649882,0.008225112925768018,0.013870729881572513,0.05235171310932739
Oligo:IKZF1 -> FLI1,0.04098126430024304,0.0204830471135558,0.043968684607574034,0.04973666273992119,0.03876101431070342,0.013029182127969639,0.06937204891520671,0.036321413099818685
Micro:IRF8 -> IL13RA1,0.04345733932249348,0.012784895246046878,0.01667337691482129,0.07218554256455288,0.04159850862853432,0.01801490834604016,0.028883348963434162,0.05974788860233148
Oligo:IKZF1 -> DOCK8,0.026746172677734468,0.015606641529063436,0.012790132817333362,0.03929395818227056,0.022902210211392247,0.01584635302013268,0.015044136244156382,0.030359175790639993
Oligo:FLI1 -> MSR1,0.06846705715752795,0.04625865029580645,0.04236115267960575,0.09262421282734978,0.11426514970461912,0.09961708072814238,0.09720709160202338,0.1301182132441553
Oligo:RUNX1 -> CTSC,0.0703776396544778,0.059890209389226984,0.05529756521394349,0.08316139200737034,0.07850842206031797,0.06863218905090057,0.06376454069247234,0.09081847924894948
Oligo:ETV6 -> SAT1,0.057703452224681165,0.029830718637874336,0.032212435685275605,0.08438532728778736,0.06844219352443523,0.05147111561760465,0.05043618183750654,0.08593073832131488
Oligo:FLI1 -> IRAK3,0.1027771581139394,0.08753220728127813,0.08051798834856869,0.1215292184129554,0.14652782312488502,0.13203518576170412,0.12820232076197308,0.16293689298793138
