"","x"
"325","MIR29B2CHG"
"326","SLC8A1-AS1"
"327","ZSCAN16-AS1"
"328","CADM3-AS1"
"329","ACTG1P22"
"330","LINC00240"
"331","LINC01004"
"332","SLC17A4"
"333","LINC01539"
"334","LINC01592"
"335","PROX1-AS1"
"336","LINC02551"
"337","MUC22"
"338","BORCS7-ASMT"
"339","CORO7-PAM16"
"340","HSPE1-MOB4"
"341","GPC6"
"342","LINC00457"
"343","TRIM10"
"344","CDH13"
"345","PDIA6"
"346","FARP1"
"347","RBM6"
"348","LINC01470"
"349","EP300-AS1"
"350","LINC02466"
"351","LINC01360"
"352","LINC01877"
"353","HDAC2-AS2"
"354","KCNIP1-OT1"
"355","SMIM15-AS1"
"356","LIPC-AS1"
"357","LINC01149"
"358","TSBP1-AS1"
"359","LINC01876"
"360","MEF2C-AS1"
"361","CXXC4-AS1"
"362","LINC02109"
"363","LINC01583"
"364","MPHOSPH9"
"365","ADAM10"
"366","C2-AS1"
"367","FLOT1"
"368","KCNMB2"
"369","DENND4A"
"370","LINC01884"
"371","LINC02188"
"372","RERE-AS1"
"373","LINC01905"
"374","LINC02822"
"375","STAG1"
"376","BTN2A2"
"377","LRRN2"
"378","LINC02210-CRHR1"
"379","IPO8"
"380","LINC02326"
"381","LINC02829"
"382","LINC02571"
"383","LINC02033"
"384","LINC02267"
"385","LINC02797"
"386","LINC02057"
"387","SPTLC1"
"388","ERLIN1"
"389","RN7SL100P"
"390","TSBP1"
"391","ADCY1"
"392","SLC17A3"
"393","IQGAP2"
"394","LINC02730"
"395","LINC02055"
"396","HCP5"
"397","ACTL7A"
"398","EHMT2"
"399","RAPGEF4"
"400","TRIM31"
"401","DNAJB4"
"402","BTN3A1"
"403","BTN2A1"
"404","RASSF1"
"405","GRM3-AS1"
"406","VPS45"
"407","TWF2"
"408","CHRNA2"
"409","ZBED9"
"410","OSBPL10"
"411","H2BP5"
"412","ERCC8"
"413","PHACTR3"
"414","AGAP1"
"415","IP6K3"
"416","ANO4"
"417","NRAD1"
"418","HYKK"
"419","TMEM219"
"420","OSCP1"
"421","CNTNAP5"
"422","ZFAND2B"
"423","MTERF4"
"424","C3orf49"
"425","MUCL3"
"426","LETM2"
"427","COX11P1"
"428","TRPM6"
"429","RFLNA"
"430","ZNF664"
"431","LINC00637"
"432","SLC9B1"
"433","ZNF385B"
"434","KLHL23"
"435","CNTN4"
"436","IGSF11"
"437","CYP2D7"
"438","FER1L6-AS2"
"439","TTLL11"
"440","CYP21A2"
"441","DENND5B"
"442","CCDC60"
"443","CCDC122"
"444","OTUD7A"
"445","AP2B1"
"446","GSDME"
"447","GLIS3"
"448","PSORS1C1"
"449","PSORS1C2"
"450","ADAMTS16"
"451","ELAVL4"
"452","ANKRD23"
"453","SPRED2"
"454","EMX1"
"455","EPHA5"
"456","STX2"
"457","ETF1"
"458","NSUN6"
"459","CCDC162P"
"460","LEMD2"
"461","HS3ST5"
"462","ZSCAN23"
